"wetting potential","permeability","element marker","Points:0","Points:1","Points:2"
3.49702e+00,1.00000e+00,0.00000e+00,1.74000e-01,5.69600e-01,0.00000e+00
3.49327e+00,1.00000e+00,0.00000e+00,1.75000e-01,5.70000e-01,0.00000e+00
3.48964e+00,1.00000e+00,0.00000e+00,1.76000e-01,5.70400e-01,0.00000e+00
3.48740e+00,1.00000e+00,0.00000e+00,1.77000e-01,5.70800e-01,0.00000e+00
3.48399e+00,1.00000e+00,0.00000e+00,1.78000e-01,5.71200e-01,0.00000e+00
3.48124e+00,1.00000e+00,0.00000e+00,1.79000e-01,5.71600e-01,0.00000e+00
3.47771e+00,1.00000e+00,0.00000e+00,1.80000e-01,5.72000e-01,0.00000e+00
3.47487e+00,1.00000e+00,0.00000e+00,1.81000e-01,5.72400e-01,0.00000e+00
3.47219e+00,4.28629e+03,4.28571e-01,1.82000e-01,5.72800e-01,0.00000e+00
3.47164e+00,1.00000e+00,0.00000e+00,1.83000e-01,5.73200e-01,0.00000e+00
3.47122e+00,1.00000e+00,0.00000e+00,1.84000e-01,5.73600e-01,0.00000e+00
3.47067e+00,1.00000e+00,0.00000e+00,1.85000e-01,5.74000e-01,0.00000e+00
3.47013e+00,1.00000e+00,0.00000e+00,1.86000e-01,5.74400e-01,0.00000e+00
3.46959e+00,1.00000e+00,0.00000e+00,1.87000e-01,5.74800e-01,0.00000e+00
3.46851e+00,1.00000e+00,0.00000e+00,1.88000e-01,5.75200e-01,0.00000e+00
3.46752e+00,1.00000e+00,0.00000e+00,1.89000e-01,5.75600e-01,0.00000e+00
3.46697e+00,1.00000e+00,0.00000e+00,1.90000e-01,5.76000e-01,0.00000e+00
3.46641e+00,1.00000e+00,0.00000e+00,1.91000e-01,5.76400e-01,0.00000e+00
3.46587e+00,1.00000e+00,0.00000e+00,1.92000e-01,5.76800e-01,0.00000e+00
3.46532e+00,1.00000e+00,0.00000e+00,1.93000e-01,5.77200e-01,0.00000e+00
3.46477e+00,1.00000e+00,0.00000e+00,1.94000e-01,5.77600e-01,0.00000e+00
3.46422e+00,1.00000e+00,0.00000e+00,1.95000e-01,5.78000e-01,0.00000e+00
3.46314e+00,1.00000e+00,0.00000e+00,1.96000e-01,5.78400e-01,0.00000e+00
3.46258e+00,1.00000e+00,0.00000e+00,1.97000e-01,5.78800e-01,0.00000e+00
3.46202e+00,1.00000e+00,0.00000e+00,1.98000e-01,5.79200e-01,0.00000e+00
3.46146e+00,1.00000e+00,0.00000e+00,1.99000e-01,5.79600e-01,0.00000e+00
3.46090e+00,1.00000e+00,0.00000e+00,2.00000e-01,5.80000e-01,0.00000e+00
3.46035e+00,1.00000e+00,0.00000e+00,2.01000e-01,5.80400e-01,0.00000e+00
3.45921e+00,1.00000e+00,0.00000e+00,2.02000e-01,5.80800e-01,0.00000e+00
3.45802e+00,1.00000e+00,0.00000e+00,2.03000e-01,5.81200e-01,0.00000e+00
3.45745e+00,1.00000e+00,0.00000e+00,2.04000e-01,5.81600e-01,0.00000e+00
3.45687e+00,1.00000e+00,0.00000e+00,2.05000e-01,5.82000e-01,0.00000e+00
3.45628e+00,1.00000e+00,0.00000e+00,2.06000e-01,5.82400e-01,0.00000e+00
3.45570e+00,1.00000e+00,0.00000e+00,2.07000e-01,5.82800e-01,0.00000e+00
3.45512e+00,1.00000e+00,0.00000e+00,2.08000e-01,5.83200e-01,0.00000e+00
3.45454e+00,1.00000e+00,0.00000e+00,2.09000e-01,5.83600e-01,0.00000e+00
3.45326e+00,1.00000e+00,0.00000e+00,2.10000e-01,5.84000e-01,0.00000e+00
3.45282e+00,1.00000e+00,0.00000e+00,2.11000e-01,5.84400e-01,0.00000e+00
3.45206e+00,1.00000e+00,0.00000e+00,2.12000e-01,5.84800e-01,0.00000e+00
3.45133e+00,1.00000e+00,0.00000e+00,2.13000e-01,5.85200e-01,0.00000e+00
3.45072e+00,1.00000e+00,0.00000e+00,2.14000e-01,5.85600e-01,0.00000e+00
3.44964e+00,1.00000e+00,0.00000e+00,2.15000e-01,5.86000e-01,0.00000e+00
3.44903e+00,1.00000e+00,0.00000e+00,2.16000e-01,5.86400e-01,0.00000e+00
3.44746e+00,1.00000e+00,0.00000e+00,2.17000e-01,5.86800e-01,0.00000e+00
3.44718e+00,1.00000e+00,0.00000e+00,2.18000e-01,5.87200e-01,0.00000e+00
3.44635e+00,1.00000e+00,0.00000e+00,2.19000e-01,5.87600e-01,0.00000e+00
3.44587e+00,1.00000e+00,0.00000e+00,2.20000e-01,5.88000e-01,0.00000e+00
3.44511e+00,1.00000e+00,0.00000e+00,2.21000e-01,5.88400e-01,0.00000e+00
3.44447e+00,1.00000e+00,0.00000e+00,2.22000e-01,5.88800e-01,0.00000e+00
3.44384e+00,1.00000e+00,0.00000e+00,2.23000e-01,5.89200e-01,0.00000e+00
3.44238e+00,1.00000e+00,0.00000e+00,2.24000e-01,5.89600e-01,0.00000e+00
3.44173e+00,1.00000e+00,0.00000e+00,2.25000e-01,5.90000e-01,0.00000e+00
3.44108e+00,1.00000e+00,0.00000e+00,2.26000e-01,5.90400e-01,0.00000e+00
3.44043e+00,1.00000e+00,0.00000e+00,2.27000e-01,5.90800e-01,0.00000e+00
3.43913e+00,1.00000e+00,0.00000e+00,2.28000e-01,5.91200e-01,0.00000e+00
3.43847e+00,1.00000e+00,0.00000e+00,2.29000e-01,5.91600e-01,0.00000e+00
3.43781e+00,1.00000e+00,0.00000e+00,2.30000e-01,5.92000e-01,0.00000e+00
3.43627e+00,1.00000e+00,0.00000e+00,2.31000e-01,5.92400e-01,0.00000e+00
3.43560e+00,1.00000e+00,0.00000e+00,2.32000e-01,5.92800e-01,0.00000e+00
3.43493e+00,1.00000e+00,0.00000e+00,2.33000e-01,5.93200e-01,0.00000e+00
3.43425e+00,1.00000e+00,0.00000e+00,2.34000e-01,5.93600e-01,0.00000e+00
3.43358e+00,1.00000e+00,0.00000e+00,2.35000e-01,5.94000e-01,0.00000e+00
3.43290e+00,1.00000e+00,0.00000e+00,2.36000e-01,5.94400e-01,0.00000e+00
3.43222e+00,1.00000e+00,0.00000e+00,2.37000e-01,5.94800e-01,0.00000e+00
3.43062e+00,1.00000e+00,0.00000e+00,2.38000e-01,5.95200e-01,0.00000e+00
3.42993e+00,1.00000e+00,0.00000e+00,2.39000e-01,5.95600e-01,0.00000e+00
3.42924e+00,1.00000e+00,0.00000e+00,2.40000e-01,5.96000e-01,0.00000e+00
3.42856e+00,1.00000e+00,0.00000e+00,2.41000e-01,5.96400e-01,0.00000e+00
3.42717e+00,1.00000e+00,0.00000e+00,2.42000e-01,5.96800e-01,0.00000e+00
