"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
115.88,1,1,233.3,233.3,-200,0
115.88,1,1,234.02,234.02,-200,0
115.88,1,1,234.74,234.74,-200,0
115.8,1,1,235.46,235.46,-200,0
115.8,1,1,236.18,236.18,-200,0
115.8,1,1,236.9,236.9,-200,0
115.8,1,1,237.62,237.62,-200,0
115.8,1,1,238.34,238.34,-200,0
115.73,1,1,239.06,239.06,-200,0
115.73,1,1,239.78,239.78,-200,0
115.73,1,1,240.5,240.5,-200,0
115.73,1,1,241.22,241.22,-200,0
115.73,1,1,241.94,241.94,-200,0
115.65,1,1,242.66,242.66,-200,0
115.65,1,1,243.38,243.38,-200,0
115.65,1,1,244.1,244.1,-200,0
115.65,1,1,244.82,244.82,-200,0
115.65,1,1,245.54,245.54,-200,0
115.58,1,1,246.26,246.26,-200,0
115.58,1,1,246.98,246.98,-200,0
115.58,1,1,247.7,247.7,-200,0
115.58,1,1,248.42,248.42,-200,0
115.51,1,1,249.14,249.14,-200,0
115.51,1,1,249.86,249.86,-200,0
115.51,1,1,250.59,250.59,-200,0
115.51,1,1,251.31,251.31,-200,0
115.51,1,1,252.03,252.03,-200,0
115.51,1,1,252.75,252.75,-200,0
115.45,1,1,253.47,253.47,-200,0
115.45,1,1,254.19,254.19,-200,0
115.4,1,1,254.91,254.91,-200,0
115.4,1,1,255.63,255.63,-200,0
115.4,1,1,256.35,256.35,-200,0
115.4,1,1,257.07,257.07,-200,0
115.33,1,1,257.79,257.79,-200,0
115.33,1,1,258.51,258.51,-200,0
115.33,1,1,259.23,259.23,-200,0
115.33,1,1,259.95,259.95,-200,0
115.33,1,1,260.67,260.67,-200,0
115.26,1,1,261.39,261.39,-200,0
115.26,1,1,262.11,262.11,-200,0
115.26,1,1,262.83,262.83,-200,0
115.26,1,1,263.55,263.55,-200,0
115.26,1,1,264.27,264.27,-200,0
115.19,1,1,264.99,264.99,-200,0
115.19,1,1,265.71,265.71,-200,0
115.19,1,1,266.43,266.43,-200,0
115.19,1,1,267.15,267.15,-200,0
