"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4323,1,1,0,1,0.069628,0.069628,0.7,0
1.4323,1,1,0,1,0.069878,0.069878,0.7,0
1.4315,1,1,0,1,0.070127,0.070127,0.7,0
1.4315,1,1,0,1,0.070377,0.070377,0.7,0
1.4315,1,1,0,1,0.070626,0.070626,0.7,0
1.4315,1,1,0,1,0.070876,0.070876,0.7,0
1.4306,1,1,0,1,0.071126,0.071126,0.7,0
1.4306,1,1,0,1,0.071375,0.071375,0.7,0
1.4306,1,1,0,1,0.071625,0.071625,0.7,0
1.4306,1,1,0,1,0.071874,0.071874,0.7,0
1.4298,1,1,0,1,0.072124,0.072124,0.7,0
1.4298,1,1,0,1,0.072373,0.072373,0.7,0
1.4298,1,1,0,1,0.072623,0.072623,0.7,0
1.4298,1,1,0,1,0.072872,0.072872,0.7,0
1.4289,1,1,0,1,0.073122,0.073122,0.7,0
1.4289,1,1,0,1,0.073372,0.073372,0.7,0
1.4289,1,1,0,1,0.073621,0.073621,0.7,0
1.4289,1,1,0,1,0.073871,0.073871,0.7,0
1.4281,1,1,0,1,0.07412,0.07412,0.7,0
1.4281,1,1,0,1,0.07437,0.07437,0.7,0
1.4281,1,1,0,1,0.074619,0.074619,0.7,0
1.4281,1,1,0,1,0.074869,0.074869,0.7,0
1.4272,1,1,0,1,0.075119,0.075119,0.7,0
1.4272,1,1,0,1,0.075368,0.075368,0.7,0
1.4272,1,1,0,1,0.075618,0.075618,0.7,0
1.4272,1,1,0,1,0.075867,0.075867,0.7,0
1.4264,1,1,0,1,0.076117,0.076117,0.7,0
1.4264,1,1,0,1,0.076366,0.076366,0.7,0
1.4264,1,1,0,1,0.076616,0.076616,0.7,0
1.4264,1,1,0,1,0.076865,0.076865,0.7,0
1.4255,1,1,0,1,0.077115,0.077115,0.7,0
1.4255,1,1,0,1,0.077365,0.077365,0.7,0
1.4255,1,1,0,1,0.077614,0.077614,0.7,0
1.4255,1,1,0,1,0.077864,0.077864,0.7,0
1.4247,1,1,0,1,0.078113,0.078113,0.7,0
1.4247,1,1,0,1,0.078363,0.078363,0.7,0
1.4247,1,1,0,1,0.078612,0.078612,0.7,0
1.4247,1,1,0,1,0.078862,0.078862,0.7,0
1.4238,1,1,0,1,0.079112,0.079112,0.7,0
1.4238,1,1,0,1,0.079361,0.079361,0.7,0
1.4238,1,1,0,1,0.079611,0.079611,0.7,0
1.4238,1,1,0,1,0.07986,0.07986,0.7,0
1.423,1,1,0,1,0.08011,0.08011,0.7,0
1.423,1,1,0,1,0.080359,0.080359,0.7,0
1.423,1,1,0,1,0.080609,0.080609,0.7,0
1.423,1,1,0,1,0.080858,0.080858,0.7,0
1.4222,1,1,0,1,0.081108,0.081108,0.7,0
1.4222,1,1,0,1,0.081358,0.081358,0.7,0
1.4222,1,1,0,1,0.081607,0.081607,0.7,0
1.4222,1,1,0,1,0.081857,0.081857,0.7,0
1.4213,1,1,0,1,0.082106,0.082106,0.7,0
1.4213,1,1,0,1,0.082356,0.082356,0.7,0
1.4213,1,1,0,1,0.082605,0.082605,0.7,0
1.4213,1,1,0,1,0.082855,0.082855,0.7,0
1.4205,1,1,0,1,0.083105,0.083105,0.7,0
1.4205,1,1,0,1,0.083354,0.083354,0.7,0
1.4205,1,1,0,1,0.083604,0.083604,0.7,0
